S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,188.00,194.00,184.00,190.00,190.00,0.00,0.00,189.59,"1,357.00",188.00,"257,272.00",10,2.00,10.00,0.00,5.43,0.22,0.00,0.00
2,ADBL,-,400.00,412.00,393.00,410.00,410.00,0.00,0.00,402.99,"18,473.00",400.00,"7,444,488.00",133,10.00,19.00,0.00,4.83,1.71,0.00,0.00
3,AHPC,-,531.00,545.00,522.00,525.00,525.00,0.00,0.00,531.78,"13,153.00",531.00,"6,994,565.00",34,-6.00,23.00,0.00,4.41,-1.29,0.00,0.00
4,AIC,-,357.00,385.00,362.00,385.00,385.00,0.00,0.00,372.41,"2,639.00",357.00,"982,778.00",11,28.00,23.00,0.00,6.35,3.27,0.00,0.00
5,ALDBL,-,132.00,134.00,134.00,134.00,134.00,0.00,0.00,134.00,540.00,132.00,"72,360.00",3,2.00,0.00,0.00,0.00,0.00,0.00,0.00
6,ALICL,-,647.00,645.00,608.00,627.00,627.00,0.00,0.00,626.57,"3,000.00",647.00,"1,879,696.00",31,-20.00,37.00,0.00,6.09,0.07,0.00,0.00
7,ARDBL,-,139.00,137.00,126.00,126.00,126.00,0.00,0.00,127.56,"1,470.00",139.00,"187,520.00",25,-13.00,11.00,0.00,8.73,-1.24,0.00,0.00
8,BOK,-,567.00,587.00,566.00,580.00,580.00,0.00,0.00,578.12,"21,228.00",567.00,"12,272,250.00",47,13.00,21.00,0.00,3.71,0.32,0.00,0.00
9,BPCL,-,"1,055.00","1,065.00","1,050.00","1,050.00","1,050.00",0.00,0.00,"1,054.19","2,994.00","1,055.00","3,156,233.00",12,-5.00,15.00,0.00,1.43,-0.40,0.00,0.00
10,BSBL,-,226.00,238.00,230.00,238.00,238.00,0.00,0.00,233.76,"1,802.00",226.00,"421,228.00",9,12.00,8.00,0.00,3.48,1.78,0.00,0.00
11,BUDBL,-,141.00,139.00,134.00,137.00,137.00,0.00,0.00,135.63,"4,796.00",141.00,"650,468.00",11,-4.00,5.00,0.00,3.73,1.00,0.00,0.00
12,CEDBL,-,228.00,250.00,230.00,235.00,235.00,0.00,0.00,237.50,"7,626.00",228.00,"1,811,170.00",31,7.00,20.00,0.00,8.70,-1.06,0.00,0.00
13,CHCL,-,"1,487.00","1,515.00","1,475.00","1,475.00","1,475.00",0.00,0.00,"1,492.99","5,936.00","1,487.00","8,862,384.00",36,-12.00,40.00,0.00,2.71,-1.22,0.00,0.00
14,CIT,-,"2,125.00","2,120.00","2,078.00","2,119.00","2,119.00",0.00,0.00,"2,094.67",959.00,"2,125.00","2,008,790.00",16,-6.00,42.00,0.00,2.02,1.15,0.00,0.00
15,CNDBL,-,98.00,99.00,97.00,99.00,99.00,0.00,0.00,98.47,940.00,98.00,"92,560.00",36,1.00,2.00,0.00,2.06,0.54,0.00,0.00
16,CZBIL,-,372.00,400.00,375.00,391.00,391.00,0.00,0.00,387.05,"17,063.00",372.00,"6,604,307.00",61,19.00,25.00,0.00,6.67,1.01,0.00,0.00
17,DDBL,-,882.00,865.00,860.00,860.00,860.00,0.00,0.00,860.97,124.00,882.00,"106,760.00",2,-22.00,5.00,0.00,0.58,-0.11,0.00,0.00
18,EBL,-,"1,900.00","1,980.00","1,935.00","1,950.00","1,950.00",0.00,0.00,"1,954.01","5,113.00","1,900.00","9,990,858.00",37,50.00,45.00,0.00,2.33,-0.21,0.00,0.00
19,EDBL,-,575.00,575.00,555.00,555.00,555.00,0.00,0.00,568.25,551.00,575.00,"313,105.00",3,-20.00,20.00,0.00,3.60,-2.39,0.00,0.00
20,EFL,-,95.00,104.00,96.00,104.00,104.00,0.00,0.00,100.15,130.00,95.00,"13,020.00",8,9.00,8.00,0.00,8.33,3.70,0.00,0.00
21,GBBL,-,275.00,270.00,260.00,260.00,260.00,0.00,0.00,264.92,764.00,275.00,"202,400.00",4,-15.00,10.00,0.00,3.85,-1.89,0.00,0.00
22,GFCL,-,120.00,124.00,122.00,124.00,124.00,0.00,0.00,123.33,30.00,120.00,"3,700.00",2,4.00,2.00,0.00,1.64,0.54,0.00,0.00
23,GLICL,-,352.00,351.00,341.00,341.00,341.00,0.00,0.00,348.37,"2,351.00",352.00,"819,025.00",21,-11.00,10.00,0.00,2.93,-2.16,0.00,0.00
24,GMFIL,-,196.00,206.00,199.00,206.00,206.00,0.00,0.00,202.05,"1,030.00",196.00,"208,110.00",3,10.00,7.00,0.00,3.52,1.92,0.00,0.00
25,GRAND,-,255.00,265.00,256.00,261.00,261.00,0.00,0.00,259.72,"29,520.00",255.00,"7,667,076.00",62,6.00,9.00,0.00,3.52,0.49,0.00,0.00
26,GSDBL,-,133.00,146.00,135.00,143.00,143.00,0.00,0.00,142.47,"1,855.00",133.00,"264,287.00",25,10.00,11.00,0.00,8.15,0.37,0.00,0.00
27,HAMA,-,72.00,73.00,73.00,73.00,73.00,0.00,0.00,73.00,40.00,72.00,"2,920.00",1,1.00,0.00,0.00,0.00,0.00,0.00,0.00
28,HAMRO,-,149.00,149.00,149.00,149.00,149.00,0.00,0.00,149.00,94.00,149.00,"14,006.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,HBL,-,795.00,810.00,798.00,810.00,810.00,0.00,0.00,804.86,"2,555.00",795.00,"2,056,425.00",13,15.00,12.00,0.00,1.50,0.63,0.00,0.00
30,HGI,-,560.00,560.00,550.00,550.00,550.00,0.00,0.00,558.32,601.00,560.00,"335,550.00",2,-10.00,10.00,0.00,1.82,-1.51,0.00,0.00
31,ICFC,-,214.00,218.00,210.00,218.00,218.00,0.00,0.00,214.00,700.00,214.00,"149,800.00",3,4.00,8.00,0.00,3.81,1.83,0.00,0.00
32,IDBL,-,99.00,100.00,90.00,99.00,99.00,0.00,0.00,97.91,"5,527.00",99.00,"541,144.00",35,0.00,10.00,0.00,11.11,1.10,0.00,0.00
33,ILFC,-,180.00,183.00,175.00,175.00,175.00,0.00,0.00,178.38,"5,813.00",180.00,"1,036,931.00",12,-5.00,8.00,0.00,4.57,-1.93,0.00,0.00
34,INDBL,-,102.00,100.00,98.00,98.00,98.00,0.00,0.00,99.64,538.00,102.00,"53,606.00",2,-4.00,2.00,0.00,2.04,-1.67,0.00,0.00
35,JBBL,-,113.00,121.00,113.00,120.00,120.00,0.00,0.00,117.13,"5,584.00",113.00,"654,050.00",67,7.00,8.00,0.00,7.08,2.39,0.00,0.00
36,JBNL,-,230.00,246.00,234.00,239.00,239.00,0.00,0.00,241.81,"12,763.00",230.00,"3,086,258.00",42,9.00,12.00,0.00,5.13,-1.18,0.00,0.00
37,JEFL,-,117.00,115.00,115.00,115.00,115.00,0.00,0.00,115.00,50.00,117.00,"5,750.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
38,JFL,-,233.00,230.00,229.00,230.00,230.00,0.00,0.00,229.62,990.00,233.00,"227,320.00",7,-3.00,1.00,0.00,0.44,0.17,0.00,0.00
39,KADBL,-,168.00,171.00,171.00,171.00,171.00,0.00,0.00,171.00,20.00,168.00,"3,420.00",1,3.00,0.00,0.00,0.00,0.00,0.00,0.00
40,KAFIL,-,143.00,141.00,141.00,141.00,141.00,0.00,0.00,141.00,96.00,143.00,"13,536.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
41,KBBL,-,199.00,214.00,202.00,214.00,214.00,0.00,0.00,205.59,"2,040.00",199.00,"419,400.00",4,15.00,12.00,0.00,5.94,3.93,0.00,0.00
42,KBL,-,423.00,460.00,431.00,450.00,450.00,0.00,0.00,445.70,"42,327.00",423.00,"18,864,980.00",86,27.00,29.00,0.00,6.73,0.96,0.00,0.00
43,KDBL,-,93.00,93.00,90.00,92.00,92.00,0.00,0.00,91.26,"1,858.00",93.00,"169,568.00",24,-1.00,3.00,0.00,3.33,0.80,0.00,0.00
44,KIST,-,165.00,181.00,168.00,181.00,181.00,0.00,0.00,180.38,"141,900.00",165.00,"25,596,000.00",6,16.00,13.00,0.00,7.74,0.34,0.00,0.00
45,KMBL,-,226.00,231.00,215.00,224.00,224.00,0.00,0.00,227.80,"2,770.00",226.00,"631,000.00",11,-2.00,16.00,0.00,7.44,-1.70,0.00,0.00
46,KRBL,-,98.00,97.00,93.00,94.00,94.00,0.00,0.00,94.60,450.00,98.00,"42,570.00",19,-4.00,4.00,0.00,4.30,-0.64,0.00,0.00
47,LBL,-,446.00,480.00,454.00,473.00,473.00,0.00,0.00,468.96,"25,874.00",446.00,"12,133,951.00",69,27.00,26.00,0.00,5.73,0.85,0.00,0.00
48,LFLC,-,137.00,139.00,139.00,139.00,139.00,0.00,0.00,139.00,60.00,137.00,"8,340.00",1,2.00,0.00,0.00,0.00,0.00,0.00,0.00
49,LGIL,-,339.00,333.00,316.00,316.00,316.00,0.00,0.00,322.23,"3,725.00",339.00,"1,200,311.00",16,-23.00,17.00,0.00,5.38,-1.97,0.00,0.00
50,LICN,-,"1,951.00","2,010.00","1,950.00","1,995.00","1,995.00",0.00,0.00,"1,975.80","1,248.00","1,951.00","2,465,801.00",7,44.00,60.00,0.00,3.08,0.96,0.00,0.00
