rank,symbol,company_name,volume,ltp
1,GBIME,Global IME Bank Limited,1089231.00,255.00
2,KBL,Kumari Bank Limited,752797.00,223.20
3,RIDI,Ridi Power Company Limited,598395.00,366.00
4,NIMB,Nepal Investment Mega Bank Limited,460463.00,203.00
5,LEC,Liberty Energy Company Limited,379290.00,225.00
6,AKJCL,Ankhukhola Hydropower Company Limited,372666.00,366.20
7,NHPC,National Hydro Power Company Limited,315028.00,269.90
8,KKHC,Khani Khola Hydropower Company Limited,297497.00,283.00
9,MBL,Machhapuchchhre Bank Limited,289999.00,260.50
10,PRVU,Prabhu Bank Limited,274515.00,198.00
11,LSL,Laxmi Sunrise Bank Limited,261979.00,229.70
12,CFCL,Central Finance Limited,238752.00,660.00
13,SANIMA,Sanima Bank Limited,225720.00,373.00
14,API,Api Power Company Limited,189693.00,336.00
15,HDHPC,Himal Dolakha Hydropower Company Limited,180860.00,214.00
