rank,symbol,company_name,turnover,ltp
1,ADBLB87,4% Agricultural Bond 2087,506500000.00,1015.00
2,RSML,Reliance Spinning Mills Limited,300479735.10,2784.00
3,SOHL,Solu Hydropower Limited,229894094.40,699.00
4,SAHAS,Sahas Urja Limited,166967817.10,709.00
5,SMHL,Super Madi Hydropower Limited,162108163.60,522.90
6,TAMOR,Sanima Middle Tamor Hydropower Limited,148392107.50,481.80
7,MEN,Mountain Energy Nepal Limited,136140702.10,639.00
8,RIDI,Ridi Power Company Limited,93755247.90,364.80
9,UHEWA,Upper Hewakhola Hydropower Company Limited,89092958.20,620.00
10,SHPC,Sanima Mai Hydropower Limited,78845936.30,514.00
11,KKHC,Khani Khola Hydropower Company Limited,71811188.50,278.80
12,NGPL,Ngadi Group Power Limited,69238323.70,412.00
13,RADHI,Radhi Bidyut Company Limited,59022608.50,718.00
14,UMHL,United Modi Hydropower Limited,57790096.40,582.00
15,NBL,Nepal Bank Limited,57174207.20,277.00
