Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,518.07","2,537.76","2,501.49","2,522.66",9.24,0.36,"2,906,943,632.99"
Sensitive Index,445.04,447.64,442.83,446.16,1.72,0.38,"1,016,146,170.60"
Float Index,172.70,173.83,171.61,172.97,0.72,0.42,"2,883,784,596.30"
Sensitive Float Index,150.02,150.96,149.28,150.43,0.65,0.43,"1,016,146,170.60"
Banking SubIndex,"1,422.42","1,422.57","1,407.46","1,416.78",2.66,0.18,"280,120,506.70"
Development Bank Index,"5,379.50","5,420.40","5,362.82","5,391.91",6.19,0.11,"116,226,666.30"
Finance Index,"2,230.85","2,255.59","2,227.04","2,242.36",5.71,0.25,"61,912,286.30"
Hotels And Tourism,"6,987.28","7,098.92","6,976.05","7,035.66",46.37,0.66,"68,822,572.00"
HydroPower Index,"3,438.69","3,497.60","3,417.91","3,472.14",35.00,1.01,"1,436,283,572.40"
Investment,92.67,93.86,92.14,93.39,0.57,0.61,"115,060,331.60"
Life Insurance,"11,105.17","11,181.30","11,027.85","11,162.14",99.41,0.89,"58,434,302.40"
Manufacturing And Processing,"10,489.01","10,519.96","10,354.12","10,380.10",-105.55,-1.00,"460,869,393.00"
Microfinance Index,"4,366.35","4,397.29","4,349.42","4,370.82",2.33,0.05,"126,111,405.60"
Mutual Fund,19.46,19.55,19.41,19.54,0.05,0.26,"8,380,258.25"
Non Life Insurance,"9,243.71","9,392.79","9,111.28","9,324.14",80.42,0.87,"75,912,581.70"
Others Index,"1,782.04","1,800.27","1,762.59","1,787.13",9.68,0.54,"81,490,246.00"
Trading Index,"3,180.71","3,241.11","3,110.43","3,183.61",2.89,0.09,"2,540,732.30"
