rank,symbol,company_name,transactions,ltp
1,SAPIL,Sarvottam Paints Industries Limited,4815,1253.00
2,SGHL,Sanigad Hydro Limited,1339,481.00
3,MEPDL,Mount Everest Power Development Limited,1312,611.90
4,CHCL,Chilime Hydro power Company Limited,1170,372.00
5,SOHL,Solu Hydropower Limited,1142,659.00
6,RHPL,Rasuwagadhi Hydropower Company Limited,1061,168.70
7,SHIVM,Shivam Cements Limited,1037,654.00
8,KAHL,Kalanga Hydro Limited,801,475.00
9,PCIL,Palpa Cements Industries Limited,792,623.20
10,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,626,498.50
11,SOPL,Sopan Pharmaceuticals Limited,600,731.20
12,HRL,Himalayan Reinsurance Limited,599,516.00
13,AKJCL,Ankhukhola Hydropower Company Limited,583,342.60
14,TAMOR,Sanima Middle Tamor Hydropower Limited,548,495.00
15,GCIL,Ghorahi Cement Industry Limited,536,376.00
