rank,symbol,company_name,close,change,change_percent
1,PURE,Pure Energy Limited,662.00,-101.80,-13.33
2,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5023.50,-326.50,-6.10
3,CFCL,Central Finance Limited,598.40,-36.60,-5.76
4,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1333.00,-61.00,-4.38
5,SAGF,Sanima Growth Fund,9.63,-0.37,-3.70
6,SPL,Shuvam Power Limited,640.00,-24.00,-3.61
7,KSBBL,Kamana Sewa Bikas Bank Limited,463.00,-17.00,-3.54
8,NMBUR93/94,4% NMB Urja Rinpatra (Energy Bond II) 2093/94,909.00,-32.00,-3.40
9,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,368.90,-12.50,-3.28
10,RHPL,Rasuwagadhi Hydropower Company Limited,173.10,-5.70,-3.19
11,LUK,Laxmi Unnati Kosh,9.40,-0.30,-3.09
12,RBBF40,RBB Focus 40,9.00,-0.27,-2.91
13,NIBLGF,NIBL Growth Fund,8.36,-0.24,-2.79
14,SHINED,Shine Resunga Debenture,1096.00,-29.00,-2.58
15,MKJC,Mailung Khola Jal Vidhyut Company Limited,290.00,-7.40,-2.49
