rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,423853511.00,325387946.80,749241457.80,98465564.19999999,162811172.60
2,42,Sani Securities Company Limited,143626267.70,165024677.90,308650945.60,-21398410.200000018,12206147.40
3,45,Imperial Securities Co. Limited,147903473.50,120373561.10,268277034.60,27529912.400000006,8455988.20
4,49,Online Securities Limited,150021567.00,112073966.20,262095533.20,37947600.8,5761252.00
5,44,Dynamic Money Managers Securities Pvt.Ltd,98870777.20,143135359.74,242006136.94,-44264582.54000001,16719290.00
6,34,Vision Securities Pvt.Limited,123431088.64,101113197.85,224544286.49,22317890.790000007,3528819.60
7,48,Trishakti Securities Public Limited,104614942.30,102332325.20,206947267.50,2282617.099999994,17661555.20
8,57,Arya Tara Investment And Securities Pvt. Ltd.,89207775.50,110083488.60,199291264.10,-20875713.099999994,5035658.40
9,17,ABC Securities Pvt. Limited,96267245.10,101567365.45,197834610.55,-5300120.350000009,5244968.40
10,77,Nabil Stock Dealer Limited,87745425.42,102986474.80,190731900.22,-15241049.379999995,119029378.00
11,62,Capital Max Securities Limited,77974652.10,98538250.90,176512903.00,-20563598.800000012,3955727.00
12,4,Stock Broker Opal Securities Investment Pvt. Limited,78232992.88,83344587.34,161577580.22,-5111594.460000008,5919344.00
13,64,SUN SECURITIES PVT LTD,92391590.50,66341577.80,158733168.30,26050012.700000003,2586502.00
14,35,Kohinoor Investment and Securities Pvt.Ltd,83006038.90,75620604.70,158626643.60,7385434.200000003,5843858.20
15,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,82460374.10,72510417.40,154970791.50,9949956.699999988,2759562.40
