rank,symbol,company_name,close,change,change_percent
1,PURE,Pure Energy Limited,761.30,99.30,15.00
2,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1145.00,78.40,7.35
3,SAIL,Shreenagar Agritech Industries Limited,1056.20,62.20,6.26
4,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,820.00,48.00,6.22
5,SAGAR,Sagar Distillery Limited,1593.00,93.00,6.20
6,GIBF1,Global IME Balanced Fund-I,11.08,0.57,5.42
7,RAWA,Rawa Energy Development Ltd.,413.90,20.90,5.32
8,SICL,Shikhar Insurance Company Limited,550.00,27.40,5.24
9,SYPNL,SY Panel Nepal Limited,1344.00,63.00,4.92
10,RMF2,RBB Mutual Fund 2,9.70,0.42,4.53
11,SABBL,Salapa Bikas Bank Limited,916.70,37.70,4.29
12,MABEL,Mabilung Energy Limited,587.70,23.70,4.20
13,NLG,NLG Insurance Company Limited,514.50,20.50,4.15
14,NICL,Nepal Insurance Company Limited,436.90,16.90,4.02
15,H8020,Himalayan 80-20,12.48,0.48,4.00
